iter	Logloss
0	0.6635981626
1	0.6362827648
2	0.6109424517
3	0.5890236139
4	0.5687188508
5	0.5501130618
6	0.5325715863
7	0.5178687299
8	0.5039976376
9	0.4899394635
10	0.4768790083
11	0.4657641763
12	0.4555089914
13	0.4461909703
14	0.4377563569
15	0.4295411275
16	0.4219631999
17	0.4156554466
18	0.4097337103
19	0.4039901361
20	0.3983374373
21	0.3932910871
22	0.3892474226
23	0.384374881
24	0.3805883312
25	0.3767301345
26	0.3727634416
27	0.3692967839
28	0.3667966986
29	0.36337106
30	0.3610681783
31	0.3578367637
32	0.3549600093
33	0.352389256
34	0.3501757818
35	0.3476806238
36	0.3460831218
37	0.3441534821
38	0.3422250139
39	0.3403602821
40	0.3387364102
41	0.3365682211
42	0.3352581322
43	0.3336724927
44	0.3323937728
45	0.3306109276
46	0.3294697042
47	0.3287227325
48	0.3276600993
49	0.3264875283
50	0.3253123974
51	0.3238149474
52	0.3223128936
53	0.3208801875
54	0.3197147176
55	0.319100985
56	0.3181693095
57	0.3173866041
58	0.3164487002
59	0.3154879413
60	0.3146805948
61	0.3138849473
62	0.3131045452
63	0.3124294658
64	0.3117083504
65	0.3107138378
66	0.3100884637
67	0.3096528251
68	0.3090903526
69	0.3079194455
70	0.3073084918
71	0.3064482946
72	0.3055394171
73	0.3049873403
74	0.3043102303
75	0.3036662531
76	0.3032699687
77	0.3026336517
78	0.3022045445
79	0.3016811433
80	0.3009911323
81	0.3005748803
82	0.2999260433
83	0.2988553979
84	0.2984877328
85	0.2979890009
86	0.2973628955
87	0.296599899
88	0.2960360589
89	0.295011308
90	0.2943202827
91	0.2935596619
92	0.2929482811
93	0.2925569939
94	0.2917810596
95	0.2914240877
96	0.291051111
97	0.2907129799
98	0.2904090688
99	0.2899827951
100	0.2894183081
101	0.2890351247
102	0.2884077737
103	0.2881032496
104	0.2878389132
105	0.2869507749
106	0.2866060652
107	0.2862164226
108	0.2858150818
109	0.2850878001
110	0.2847852004
111	0.2843366661
112	0.2839583575
113	0.2835162272
114	0.2831823033
115	0.2829464397
116	0.2826285217
117	0.2818584368
118	0.281568146
119	0.2813077642
120	0.2810596982
121	0.2805751635
122	0.2802143753
123	0.2799796198
124	0.279301106
125	0.2790679223
126	0.2788170885
127	0.2786411921
128	0.2781924562
129	0.2777150904
130	0.277288844
131	0.2768015578
132	0.2765001588
133	0.2761113152
134	0.2757334723
135	0.2752021956
136	0.27486706
137	0.2743614189
138	0.2741456331
139	0.2737387753
140	0.273444485
141	0.272805358
142	0.2723838907
143	0.2721351466
144	0.2718482806
145	0.2716361196
146	0.271388795
147	0.2710221775
148	0.2708172029
149	0.2706149829
