iter	Passed	Remaining
415	2910	4086
416	2919	4081
417	2927	4075
418	2935	4070
419	2943	4064
420	2951	4058
421	2959	4053
422	2967	4047
423	2974	4041
424	2983	4036
425	2991	4030
426	2999	4025
427	3007	4018
428	3015	4013
429	3022	4007
430	3030	4001
431	3038	3995
432	3048	3991
433	3055	3984
434	3063	3979
435	3070	3971
436	3076	3963
437	3084	3958
438	3092	3951
439	3100	3945
440	3107	3938
441	3115	3932
442	3122	3925
443	3129	3919
444	3136	3912
445	3143	3904
446	3150	3897
447	3157	3890
448	3164	3883
449	3171	3876
450	3178	3868
451	3184	3860
452	3190	3852
453	3197	3845
454	3204	3837
455	3210	3830
456	3216	3822
457	3222	3813
458	3230	3807
459	3235	3798
460	3242	3791
461	3249	3783
462	3255	3775
463	3262	3768
464	3268	3760
465	3276	3754
466	3282	3746
467	3287	3737
468	3295	3730
469	3301	3722
470	3307	3714
471	3313	3707
472	3319	3698
473	3326	3691
474	3332	3683
475	3339	3676
476	3345	3668
477	3351	3659
478	3358	3653
479	3364	3644
480	3370	3636
481	3377	3629
482	3383	3622
483	3390	3614
484	3396	3606
485	3402	3598
486	3409	3591
487	3415	3583
488	3421	3575
489	3427	3567
490	3433	3559
491	3440	3552
492	3446	3544
493	3452	3536
494	3459	3528
495	3464	3520
496	3471	3513
497	3478	3506
498	3484	3498
499	3491	3491
500	3497	3483
501	3503	3475
502	3510	3468
503	3516	3460
504	3523	3453
505	3529	3445
506	3536	3438
507	3542	3430
508	3548	3422
509	3555	3415
510	3560	3407
511	3566	3399
512	3574	3392
513	3580	3385
514	3587	3378
515	3593	3370
516	3599	3362
517	3605	3355
518	3611	3346
519	3617	3339
520	3623	3331
521	3629	3323
522	3637	3317
523	3642	3309
524	3648	3301
525	3655	3294
526	3660	3285
527	3667	3278
528	3673	3270
529	3679	3262
530	3686	3255
531	3692	3248
532	3699	3241
533	3705	3233
534	3711	3225
535	3718	3218
536	3724	3210
537	3729	3203
538	3736	3196
539	3742	3188
540	3749	3180
541	3755	3173
542	3761	3165
543	3768	3158
544	3774	3150
545	3780	3143
546	3787	3136
547	3794	3129
548	3800	3122
549	3806	3114
550	3813	3107
551	3820	3100
552	3825	3092
553	3833	3086
554	3840	3079
555	3847	3072
556	3853	3065
557	3860	3057
558	3867	3050
559	3873	3043
560	3880	3036
561	3887	3029
562	3894	3022
563	3900	3015
564	3907	3008
565	3914	3001
566	3920	2994
567	3926	2986
568	3933	2979
569	3939	2971
570	3946	2964
571	3952	2957
572	3958	2949
573	3965	2942
574	3972	2936
575	3979	2929
576	3985	2922
577	3992	2914
578	3999	2908
579	4005	2900
580	4012	2893
581	4018	2886
582	4025	2879
583	4031	2872
584	4037	2864
585	4044	2857
586	4050	2850
587	4057	2843
588	4063	2835
589	4069	2827
590	4076	2820
591	4082	2813
592	4088	2805
593	4094	2798
594	4100	2791
595	4107	2784
596	4114	2777
597	4120	2769
598	4128	2763
599	4134	2756
600	4141	2749
601	4147	2742
602	4153	2734
603	4160	2727
604	4166	2719
605	4172	2713
606	4178	2705
607	4184	2698
608	4191	2691
609	4197	2683
610	4204	2676
611	4211	2669
612	4217	2662
613	4224	2655
614	4230	2648
615	4238	2641
616	4244	2634
617	4249	2627
618	4256	2620
619	4266	2614
620	4273	2608
621	4279	2600
622	4286	2593
623	4292	2586
624	4298	2579
625	4305	2572
626	4311	2565
627	4317	2557
628	4324	2550
629	4331	2544
630	4338	2537
631	4344	2529
632	4350	2522
633	4357	2515
634	4364	2508
635	4371	2501
636	4377	2494
637	4384	2488
638	4390	2480
639	4396	2473
640	4403	2466
641	4409	2458
642	4415	2451
643	4422	2444
644	4428	2437
645	4435	2430
646	4441	2423
647	4447	2415
648	4453	2408
649	4460	2401
650	4466	2394
651	4472	2387
652	4478	2379
653	4485	2372
654	4490	2365
655	4497	2358
656	4503	2351
657	4509	2343
658	4516	2337
659	4522	2329
660	4528	2322
661	4535	2315
662	4542	2308
663	4549	2302
664	4555	2295
665	4562	2288
666	4569	2281
667	4575	2273
668	4582	2267
669	4587	2259
670	4593	2252
671	4600	2245
672	4605	2237
673	4612	2231
674	4618	2223
675	4624	2216
676	4631	2209
677	4637	2202
678	4644	2195
679	4650	2188
680	4656	2181
681	4662	2174
682	4668	2166
683	4674	2159
684	4680	2152
685	4686	2145
686	4692	2138
